date_time,nearestStormDistance,nearestStormBearing,precipIntensity,precipProbability,externalHumidity,pressure,windGust,visibility,internalTemperature,internalHumidity,max(pir),min(als),max(als),min(tp1),max(tp1),min(tp2),max(tp2),max(tp3),hvac_state,heating_target,summary_Clear,summary_Drizzle,summary_Flurries,summary_Light Rain,summary_Mostly Cloudy,summary_Overcast,summary_Partly Cloudy,summary_Possible Drizzle,summary_Possible Flurries
2021-01-24 19:30:00,134.0,173.0,0.0,0.0,0.62,1022.3,31.79,16.093,22.1,0.17379999999999998,286.0,19.0,29.0,-52.0,57.0,-51.0,58.0,63.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 19:45:00,111.0,172.0,0.0,0.0,0.62,1022.2,31.55,16.093,22.06,0.1743,294.0,17.0,22.0,-46.0,49.0,-52.0,49.0,53.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 20:00:00,130.0,176.0,0.0,0.0,0.63,1022.2,31.28,16.093,21.89,0.1777,356.0,12.0,17.0,-47.0,75.0,-54.0,57.0,54.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 20:15:00,52.0,125.0,0.0,0.0,0.62,1022.2,31.83,16.093,21.67,0.18350000000000002,384.0,11.0,14.0,-50.0,49.0,-56.0,69.0,54.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 20:30:00,71.0,131.0,0.0,0.0,0.63,1022.2,31.56,16.093,21.79,0.18530000000000002,21.0,10.0,11.0,-46.0,43.0,-46.0,54.0,59.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 20:45:00,120.0,166.0,0.0,0.0,0.63,1022.2,31.11,16.093,22.1,0.18600000000000003,357.0,7.0,10.0,-53.0,53.0,-67.0,64.0,64.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 21:00:00,141.0,164.0,0.0,0.0,0.64,1022.3,30.27,16.093,22.54,0.193,319.0,5.0,8.0,-54.0,51.0,-66.0,57.0,48.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 21:15:00,125.0,167.0,0.0,0.0,0.65,1022.3,28.87,16.093,22.56,0.1928,238.0,5.0,7.0,-41.0,59.0,-49.0,41.0,44.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 21:30:00,123.0,178.0,0.0,0.0,0.65,1022.6,27.03,16.093,22.33,0.1821,541.0,2.0,5.0,-155.0,278.0,-147.0,236.0,148.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 21:45:00,124.0,174.0,0.0,0.0,0.66,1022.6,25.34,16.093,22.12,0.18960000000000002,434.0,2.0,3.0,-42.0,47.0,-39.0,38.0,44.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 22:00:00,16.0,179.0,0.0,0.0,0.67,1022.6,23.83,16.093,21.93,0.18780000000000002,319.0,0.0,2.0,-54.0,46.0,-57.0,47.0,60.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 22:15:00,112.0,175.0,0.0,0.0,0.68,1022.6,22.44,16.093,21.87,0.1917,422.0,0.0,1.0,-57.0,78.0,-62.0,65.0,50.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 22:30:00,133.0,158.0,0.0,0.0,0.69,1022.8,21.35,16.093,22.15,0.1938,508.0,1.0,1.0,-52.0,68.0,-60.0,56.0,49.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 22:45:00,110.0,173.0,0.0,0.0,0.71,1023.0,19.88,16.093,22.12,0.2009,590.0,1.0,2.0,-64.0,75.0,-63.0,76.0,54.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 23:00:00,131.0,174.0,0.0,0.0,0.72,1023.1,18.8,16.093,22.08,0.19949999999999998,572.0,2.0,2.0,-61.0,45.0,-62.0,64.0,54.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 23:15:00,133.0,173.0,0.0,0.0,0.72,1022.9,17.65,16.093,22.0,0.2041,409.0,2.0,3.0,-173.0,311.0,-162.0,224.0,155.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 23:30:00,123.0,165.0,0.0,0.0,0.72,1022.9,17.38,16.093,21.89,0.20809999999999998,411.0,2.0,2.0,-62.0,50.0,-57.0,47.0,49.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-24 23:45:00,115.0,175.0,0.0,0.0,0.72,1022.8,17.21,16.093,21.67,0.2046,476.0,2.0,2.0,-100.0,125.0,-140.0,192.0,88.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 00:00:00,112.0,175.0,0.0,0.0,0.72,1022.8,16.99,16.093,21.89,0.2076,303.0,2.0,2.0,-57.0,53.0,-57.0,75.0,54.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 00:15:00,139.0,174.0,0.0,0.0,0.73,1022.9,17.55,16.093,22.07,0.2095,533.0,2.0,2.0,-42.0,57.0,-53.0,83.0,58.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 00:30:00,130.0,164.0,0.0,0.0,0.73,1023.0,17.19,16.093,22.0,0.20199999999999999,385.0,2.0,3.0,-58.0,56.0,-59.0,69.0,64.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 00:45:00,128.0,173.0,0.0,0.0,0.72,1023.2,16.85,16.093,21.74,0.20329999999999998,435.0,1.0,2.0,-277.0,442.0,-222.0,337.0,151.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 01:00:00,111.0,167.0,0.0,0.0,0.72,1023.3,16.58,16.093,21.64,0.2025,505.0,2.0,2.0,-241.0,320.0,-228.0,204.0,114.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 01:15:00,120.0,162.0,0.0,0.0,0.72,1023.1,16.43,16.093,21.81,0.19899999999999998,24.0,2.0,2.0,-44.0,47.0,-40.0,40.0,49.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 01:30:00,121.0,163.0,0.0,0.0,0.72,1022.8,15.17,16.093,21.97,0.19920000000000002,25.0,2.0,2.0,-41.0,42.0,-50.0,43.0,53.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 01:45:00,110.0,174.0,0.0,0.0,0.74,1022.6,15.13,16.093,21.91,0.1934,469.0,2.0,2.0,-79.0,205.0,-123.0,206.0,87.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 02:00:00,114.0,174.0,0.0,0.0,0.74,1022.6,15.02,16.093,21.75,0.1912,306.0,2.0,2.0,-168.0,297.0,-162.0,233.0,117.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 02:15:00,112.0,175.0,0.0,0.0,0.74,1022.5,14.68,16.093,21.95,0.1917,549.0,2.0,2.0,-41.0,45.0,-53.0,47.0,53.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 02:30:00,90.0,181.0,0.0,0.0,0.75,1022.5,14.46,16.093,21.91,0.1875,279.0,2.0,2.0,-157.0,231.0,-184.0,233.0,133.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 02:45:00,93.0,181.0,0.0,0.0,0.76,1022.5,14.24,16.093,22.05,0.188,266.0,2.0,2.0,-102.0,379.0,-90.0,288.0,110.0,0,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 03:00:00,83.0,176.0,0.0,0.0,0.76,1022.5,14.04,16.093,21.9,0.1852,23.0,2.0,2.0,-47.0,48.0,-43.0,47.0,50.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 03:15:00,92.0,162.0,0.0,0.0,0.76,1022.6,13.07,16.093,21.68,0.1841,259.0,2.0,3.0,-48.0,57.0,-50.0,50.0,49.0,1,22.0,1,0,0,0,0,0,0,0,0
2021-01-25 03:30:00,110.0,173.0,0.0,0.0,0.76,1022.6,12.87,16.093,21.69,0.1863,390.0,2.0,2.0,-51.0,45.0,-54.0,63.0,55.0,1,18.206,1,0,0,0,0,0,0,0,0
2021-01-25 03:45:00,90.0,214.0,0.0,0.0,0.78,1022.5,12.68,16.093,21.6,0.1825,22.0,2.0,2.0,-44.0,47.0,-53.0,52.0,54.0,1,18.206,1,0,0,0,0,0,0,0,0
2021-01-25 04:00:00,90.0,214.0,0.0,0.0,0.79,1022.5,11.77,16.093,21.45,0.1827,23.0,2.0,2.0,-47.0,41.0,-46.0,43.0,52.0,1,18.206,1,0,0,0,0,0,0,0,0
2021-01-25 04:15:00,110.0,170.0,0.0,0.0,0.79,1022.4,11.59,16.093,21.22,0.17980000000000002,386.0,2.0,2.0,-131.0,292.0,-139.0,259.0,125.0,0,18.206,1,0,0,0,0,0,0,0,0
2021-01-25 04:30:00,100.0,167.0,0.0,0.0,0.8,1022.2,11.14,16.093,20.91,0.179,26.0,2.0,2.0,-56.0,47.0,-53.0,50.0,53.0,1,20.206,0,0,0,0,0,0,1,0,0
2021-01-25 04:45:00,93.0,167.0,0.0,0.0,0.8,1022.2,10.81,16.093,20.67,0.179,25.0,2.0,2.0,-48.0,44.0,-51.0,45.0,56.0,0,20.206,0,0,0,0,0,0,1,0,0
2021-01-25 05:00:00,74.0,162.0,0.0,0.0,0.79,1021.7,10.96,16.093,20.56,0.17920000000000003,25.0,2.0,2.0,-47.0,40.0,-52.0,51.0,51.0,1,20.206,0,0,0,0,0,0,1,0,0
2021-01-25 05:15:00,73.0,162.0,0.0,0.0,0.79,1021.7,10.71,16.093,20.35,0.1815,25.0,2.0,2.0,-54.0,50.0,-46.0,45.0,57.0,1,20.206,0,0,0,0,0,0,1,0,0
2021-01-25 05:30:00,74.0,162.0,0.0,0.0,0.82,1021.4,10.73,16.093,20.12,0.18059999999999998,21.0,2.0,2.0,-56.0,57.0,-66.0,71.0,57.0,1,20.206,0,0,0,0,0,0,1,0,0
2021-01-25 05:45:00,74.0,164.0,0.0,0.0,0.86,1021.5,10.35,16.093,19.99,0.1812,538.0,0.0,2.0,-230.0,426.0,-199.0,335.0,158.0,1,20.206,0,0,0,0,0,0,1,0,0
2021-01-25 06:00:00,74.0,164.0,0.0,0.0,0.86,1021.5,9.93,16.093,19.95,0.1814,25.0,0.0,0.0,-51.0,50.0,-45.0,48.0,52.0,0,20.206,0,0,0,0,0,0,1,0,0
2021-01-25 06:15:00,74.0,161.0,0.0,0.0,0.86,1021.6,9.42,16.093,20.16,0.18420000000000003,25.0,0.0,0.0,-46.0,57.0,-46.0,46.0,55.0,1,20.206,0,0,0,0,1,0,0,0,0
2021-01-25 06:30:00,71.0,180.0,0.0,0.0,0.86,1021.6,8.82,16.093,20.24,0.1814,26.0,0.0,0.0,-48.0,46.0,-48.0,48.0,49.0,1,20.206,0,0,0,0,1,0,0,0,0
2021-01-25 06:45:00,72.0,180.0,0.0,0.0,0.85,1021.7,8.14,16.093,20.14,0.1772,22.0,0.0,0.0,-49.0,52.0,-54.0,46.0,55.0,0,20.206,0,0,0,0,1,0,0,0,0
2021-01-25 07:00:00,73.0,180.0,0.0,0.0,0.85,1021.8,7.79,16.093,19.92,0.177,25.0,0.0,0.0,-47.0,44.0,-56.0,51.0,61.0,1,20.206,0,0,0,0,1,0,0,0,0
2021-01-25 07:15:00,73.0,180.0,0.0,0.0,0.84,1021.6,7.79,16.093,19.92,0.17920000000000003,24.0,0.0,0.0,-49.0,44.0,-53.0,48.0,55.0,0,20.206,0,0,0,0,1,0,0,0,0
2021-01-25 07:30:00,101.0,191.0,0.0,0.0,0.84,1021.6,8.0,16.093,20.19,0.1775,26.0,0.0,0.0,-53.0,50.0,-54.0,49.0,61.0,1,20.206,0,0,0,0,1,0,0,0,0
