Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2019-09-01,00:00,21.28,53.08,24.00,,,,,,0.00,0.00,-61.00,62.00,-55.00,57.00,-53.00,50.00,-61.00,62.00
2019-09-01,00:15,21.26,52.63,22.00,,,,,,0.00,0.00,-55.00,48.00,-47.00,51.00,-54.00,50.00,-58.00,57.00
2019-09-01,00:30,,,,,,,,,,,,,,,,,,
2019-09-01,00:45,21.22,52.62,23.00,,,,,,0.00,0.00,-55.00,51.00,-54.00,53.00,-57.00,59.00,-66.00,64.00
2019-09-01,01:00,21.13,52.18,25.00,,,,,,0.00,0.00,-53.00,51.00,-57.00,47.00,-55.00,48.00,-55.00,57.00
2019-09-01,01:15,21.10,52.14,28.00,,,,,,0.00,0.00,-52.00,56.00,-47.00,49.00,-49.00,47.00,-65.00,60.00
2019-09-01,01:30,,,,,,,,,,,,,,,,,,
2019-09-01,01:45,21.09,51.80,23.00,,,,,,0.00,0.00,-57.00,59.00,-51.00,54.00,-55.00,51.00,-55.00,61.00
2019-09-01,02:00,21.03,51.51,23.00,,,,,,0.00,0.00,-54.00,50.00,-60.00,53.00,-55.00,54.00,-56.00,57.00
2019-09-01,02:15,20.99,51.41,21.00,,,,,,0.00,0.00,-57.00,55.00,-55.00,59.00,-54.00,48.00,-57.00,58.00
2019-09-01,02:30,20.99,51.25,22.00,,,,,,0.00,0.00,-46.00,47.00,-45.00,48.00,-50.00,43.00,-54.00,46.00
2019-09-01,02:45,20.94,51.14,26.00,,,,,,0.00,0.00,-58.00,55.00,-53.00,48.00,-53.00,51.00,-59.00,57.00
2019-09-01,03:00,20.91,50.91,22.00,,,,,,0.00,0.00,-61.00,56.00,-52.00,52.00,-57.00,53.00,-52.00,63.00
2019-09-01,03:15,20.86,50.88,24.00,,,,,,0.00,0.00,-57.00,52.00,-50.00,52.00,-49.00,45.00,-64.00,51.00
2019-09-01,03:30,20.88,50.70,22.00,,,,,,0.00,0.00,-45.00,48.00,-52.00,49.00,-49.00,52.00,-55.00,48.00
2019-09-01,03:45,20.84,50.68,27.00,,,,,,0.00,0.00,-55.00,57.00,-49.00,55.00,-53.00,61.00,-65.00,55.00
2019-09-01,04:00,20.76,50.65,25.00,,,,,,0.00,0.00,-62.00,49.00,-52.00,54.00,-54.00,53.00,-56.00,61.00
2019-09-01,04:15,20.74,50.58,24.00,,,,,,0.00,0.00,-52.00,53.00,-45.00,45.00,-58.00,51.00,-62.00,54.00
2019-09-01,04:30,20.76,50.45,20.00,,,,,,0.00,0.00,-51.00,47.00,-46.00,47.00,-46.00,54.00,-48.00,47.00
2019-09-01,04:45,20.68,50.39,25.00,,,,,,0.00,0.00,-56.00,55.00,-47.00,55.00,-57.00,52.00,-57.00,60.00
2019-09-01,05:00,20.63,50.30,22.00,,,,,,0.00,0.00,-58.00,61.00,-51.00,50.00,-59.00,46.00,-56.00,50.00
2019-09-01,05:15,20.59,50.18,22.00,,,,,,0.00,0.00,-55.00,53.00,-48.00,46.00,-49.00,53.00,-61.00,50.00
2019-09-01,05:30,,,,,,,,,,,,,,,,,,
2019-09-01,05:45,20.54,50.09,25.00,,,,,,0.00,0.00,-59.00,50.00,-51.00,49.00,-59.00,55.00,-57.00,60.00
2019-09-01,06:00,20.47,49.96,21.00,,,,,,0.00,0.00,-56.00,53.00,-49.00,57.00,-58.00,49.00,-56.00,56.00
2019-09-01,06:15,20.42,49.94,23.00,,,,,,0.00,0.00,-52.00,54.00,-45.00,47.00,-59.00,46.00,-54.00,51.00
2019-09-01,06:30,,,,,,,,,,,,,,,,,,
2019-09-01,06:45,20.39,49.81,24.00,,,,,,0.00,0.00,-63.00,60.00,-54.00,49.00,-53.00,49.00,-59.00,56.00
2019-09-01,07:00,20.33,49.80,24.00,,,,,,0.00,0.00,-60.00,61.00,-52.00,45.00,-48.00,49.00,-56.00,50.00
2019-09-01,07:15,20.29,49.80,21.00,,,,,,0.00,0.00,-53.00,49.00,-46.00,49.00,-50.00,50.00,-55.00,50.00
2019-09-01,07:30,20.24,49.83,19.00,,,,,,0.00,0.00,-51.00,55.00,-60.00,48.00,-47.00,54.00,-60.00,58.00
2019-09-01,07:45,20.22,49.69,25.00,,,,,,0.00,0.00,-59.00,51.00,-50.00,52.00,-51.00,48.00,-55.00,66.00
2019-09-01,08:00,20.19,49.53,21.00,,,,,,0.00,0.00,-52.00,54.00,-46.00,49.00,-50.00,48.00,-53.00,64.00
2019-09-01,08:15,20.12,49.51,21.00,,,,,,0.00,0.00,-52.00,53.00,-52.00,46.00,-50.00,62.00,-57.00,61.00
2019-09-01,08:30,,,,,,,,,,,,,,,,,,
2019-09-01,08:45,20.07,49.44,25.00,,,,,,0.00,0.00,-60.00,58.00,-52.00,51.00,-55.00,55.00,-59.00,56.00
2019-09-01,09:00,20.01,49.41,22.00,,,,,,0.00,0.00,-52.00,52.00,-55.00,54.00,-51.00,50.00,-56.00,56.00
2019-09-01,09:15,,,,,,,,,,,,,,,,,,
2019-09-01,09:30,19.96,49.38,25.00,,,,,,0.00,0.00,-55.00,58.00,-55.00,54.00,-49.00,55.00,-56.00,60.00
2019-09-01,09:45,19.92,49.41,21.00,,,,,,0.00,0.00,-55.00,49.00,-54.00,51.00,-54.00,50.00,-61.00,59.00
2019-09-01,10:00,19.88,49.49,26.00,,,,,,0.00,0.00,-52.00,54.00,-52.00,49.00,-51.00,48.00,-56.00,58.00
2019-09-01,10:15,19.87,49.43,21.00,,,,,,0.00,0.00,-56.00,43.00,-50.00,42.00,-52.00,49.00,-54.00,58.00
2019-09-01,10:30,19.83,49.55,22.00,,,,,,0.00,1.00,-52.00,59.00,-50.00,53.00,-57.00,52.00,-60.00,58.00
2019-09-01,10:45,19.77,49.63,22.00,,,,,,1.00,2.00,-54.00,56.00,-58.00,50.00,-48.00,50.00,-53.00,58.00
2019-09-01,11:00,19.76,49.58,25.00,,,,,,2.00,4.00,-53.00,59.00,-50.00,49.00,-53.00,59.00,-53.00,54.00
2019-09-01,11:15,,,,,,,,,,,,,,,,,,
2019-09-01,11:30,19.70,49.54,23.00,,,,,,4.00,8.00,-54.00,66.00,-59.00,59.00,-48.00,49.00,-68.00,59.00
2019-09-01,11:45,19.70,49.55,24.00,,,,,,8.00,10.00,-56.00,55.00,-52.00,45.00,-55.00,53.00,-52.00,57.00
2019-09-01,12:00,19.67,49.71,25.00,,,,,,10.00,42.00,-54.00,50.00,-62.00,49.00,-57.00,49.00,-61.00,52.00
2019-09-01,12:15,,,,,,,,,,,,,,,,,,
2019-09-01,12:30,19.71,49.88,30.00,,,,,,15.00,54.00,-53.00,53.00,-53.00,49.00,-52.00,52.00,-57.00,65.00
2019-09-01,12:45,19.72,50.24,22.00,,,,,,47.00,48.00,-56.00,58.00,-53.00,58.00,-52.00,44.00,-55.00,54.00
2019-09-01,13:00,19.79,50.28,24.00,,,,,,45.00,47.00,-60.00,52.00,-47.00,50.00,-51.00,47.00,-55.00,56.00
2019-09-01,13:15,,,,,,,,,,,,,,,,,,
2019-09-01,13:30,19.83,50.80,22.00,,,,,,42.00,46.00,-57.00,58.00,-50.00,47.00,-51.00,53.00,-68.00,60.00
2019-09-01,13:45,19.90,51.39,374.00,,,,,,40.00,46.00,-48.00,52.00,-50.00,50.00,-63.00,55.00,-64.00,55.00
2019-09-01,14:00,19.99,51.75,23.00,,,,,,39.00,40.00,-60.00,58.00,-53.00,53.00,-55.00,50.00,-55.00,50.00
2019-09-01,14:15,,,,,,,,,,,,,,,,,,
2019-09-01,14:30,20.09,52.27,25.00,,,,,,36.00,39.00,-57.00,49.00,-48.00,58.00,-54.00,46.00,-56.00,59.00
2019-09-01,14:45,20.20,52.71,21.00,,,,,,32.00,36.00,-59.00,56.00,-50.00,58.00,-61.00,52.00,-69.00,57.00
2019-09-01,15:00,20.31,53.24,26.00,,,,,,23.00,32.00,-50.00,61.00,-47.00,57.00,-65.00,50.00,-55.00,56.00
2019-09-01,15:15,,,,,,,,,,,,,,,,,,
2019-09-01,15:30,20.40,53.72,22.00,,,,,,19.00,23.00,-58.00,50.00,-52.00,53.00,-51.00,51.00,-60.00,67.00
2019-09-01,15:45,20.52,54.62,432.00,,,,,,19.00,20.00,-57.00,62.00,-53.00,50.00,-57.00,54.00,-59.00,58.00
2019-09-01,16:00,20.71,55.18,379.00,,,,,,12.00,22.00,-67.00,138.00,-113.00,291.00,-67.00,222.00,-69.00,109.00
2019-09-01,16:15,20.95,55.54,332.00,,,,,,13.00,24.00,-54.00,165.00,-93.00,395.00,-87.00,360.00,-61.00,141.00
2019-09-01,16:30,21.13,55.49,333.00,,,,,,24.00,26.00,-60.00,55.00,-51.00,65.00,-60.00,59.00,-59.00,82.00
2019-09-01,16:45,21.17,55.65,377.00,,,,,,12.00,27.00,-54.00,52.00,-48.00,49.00,-54.00,61.00,-59.00,59.00
2019-09-01,17:00,21.28,56.21,314.00,,,,,,10.00,26.00,-113.00,130.00,-186.00,274.00,-165.00,187.00,-94.00,87.00
2019-09-01,17:15,21.45,56.03,354.00,,,,,,12.00,26.00,-69.00,123.00,-131.00,241.00,-114.00,126.00,-69.00,79.00
2019-09-01,17:30,21.46,56.18,25.00,,,,,,13.00,26.00,-47.00,51.00,-46.00,49.00,-50.00,47.00,-49.00,46.00
2019-09-01,17:45,21.44,55.82,364.00,,,,,,8.00,26.00,-55.00,53.00,-50.00,60.00,-66.00,75.00,-59.00,58.00
2019-09-01,18:00,21.47,55.97,23.00,,,,,,10.00,24.00,-57.00,50.00,-50.00,47.00,-55.00,53.00,-62.00,64.00
2019-09-01,18:15,21.43,55.97,379.00,,,,,,7.00,21.00,-47.00,50.00,-51.00,59.00,-49.00,49.00,-51.00,57.00
2019-09-01,18:30,21.50,55.79,385.00,,,,,,10.00,21.00,-56.00,50.00,-50.00,70.00,-59.00,60.00,-53.00,84.00
2019-09-01,18:45,21.55,55.53,24.00,,,,,,10.00,20.00,-53.00,56.00,-47.00,55.00,-49.00,51.00,-54.00,52.00
2019-09-01,19:00,21.45,55.68,25.00,,,,,,10.00,18.00,-58.00,51.00,-49.00,48.00,-51.00,57.00,-62.00,60.00
2019-09-01,19:15,21.41,55.82,264.00,,,,,,7.00,18.00,-59.00,55.00,-69.00,63.00,-74.00,76.00,-64.00,68.00
2019-09-01,19:30,21.62,55.62,360.00,,,,,,10.00,19.00,-99.00,128.00,-171.00,205.00,-158.00,170.00,-75.00,101.00
2019-09-01,19:45,21.63,55.27,29.00,,,,,,10.00,16.00,-51.00,52.00,-43.00,50.00,-47.00,50.00,-49.00,57.00
2019-09-01,20:00,21.58,55.07,31.00,,,,,,8.00,15.00,-56.00,51.00,-56.00,49.00,-46.00,53.00,-56.00,59.00
2019-09-01,20:15,21.52,55.15,25.00,,,,,,8.00,15.00,-65.00,63.00,-46.00,49.00,-51.00,64.00,-60.00,62.00
2019-09-01,20:30,,,,,,,,,,,,,,,,,,
2019-09-01,20:45,21.42,55.41,28.00,,,,,,6.00,14.00,-55.00,59.00,-52.00,49.00,-55.00,58.00,-56.00,68.00
2019-09-01,21:00,21.38,55.42,24.00,,,,,,8.00,13.00,-51.00,61.00,-50.00,46.00,-48.00,51.00,-53.00,72.00
2019-09-01,21:15,21.38,55.20,25.00,,,,,,8.00,9.00,-60.00,65.00,-52.00,47.00,-53.00,52.00,-61.00,59.00
2019-09-01,21:30,,,,,,,,,,,,,,,,,,
2019-09-01,21:45,21.31,54.86,23.00,,,,,,6.00,10.00,-58.00,50.00,-55.00,50.00,-62.00,59.00,-54.00,53.00
2019-09-01,22:00,21.31,54.60,22.00,,,,,,5.00,6.00,-59.00,54.00,-52.00,54.00,-51.00,53.00,-55.00,56.00
2019-09-01,22:15,21.25,54.43,24.00,,,,,,4.00,4.00,-53.00,58.00,-50.00,50.00,-60.00,48.00,-57.00,57.00
2019-09-01,22:30,,,,,,,,,,,,,,,,,,
2019-09-01,22:45,21.25,54.20,22.00,,,,,,2.00,5.00,-57.00,55.00,-54.00,52.00,-56.00,53.00,-65.00,60.00
2019-09-01,23:00,21.18,54.19,21.00,,,,,,1.00,2.00,-59.00,52.00,-56.00,58.00,-54.00,53.00,-67.00,57.00
2019-09-01,23:15,21.17,53.85,25.00,,,,,,1.00,1.00,-58.00,53.00,-47.00,44.00,-48.00,50.00,-54.00,57.00
2019-09-01,23:30,21.11,54.10,22.00,,,,,,0.00,1.00,-60.00,61.00,-52.00,51.00,-46.00,54.00,-61.00,57.00
2019-09-01,23:45,21.11,53.85,22.00,,,,,,0.00,0.00,-60.00,62.00,-55.00,52.00,-49.00,52.00,-59.00,58.00
2019-09-02,00:00,21.08,53.88,23.00,,,,,,0.00,0.00,-56.00,51.00,-52.00,48.00,-59.00,50.00,-51.00,62.00
2019-09-02,00:15,21.08,53.49,27.00,,,,,,0.00,0.00,-61.00,60.00,-57.00,47.00,-53.00,54.00,-55.00,59.00
2019-09-02,00:30,,,,,,,,,,,,,,,,,,
2019-09-02,00:45,21.06,53.41,26.00,,,,,,0.00,0.00,-56.00,61.00,-52.00,53.00,-57.00,50.00,-63.00,57.00
2019-09-02,01:00,20.99,53.37,24.00,,,,,,0.00,0.00,-56.00,53.00,-47.00,54.00,-51.00,49.00,-58.00,61.00
2019-09-02,01:15,20.99,53.41,27.00,,,,,,0.00,0.00,-57.00,55.00,-48.00,60.00,-51.00,51.00,-57.00,59.00
2019-09-02,01:30,,,,,,,,,,,,,,,,,,
