time,nearestStormDistance,nearestStormBearing,precipIntensity,precipProbability,humidity,pressure,windGust,visibility,avg(temp),avg(humidity),max(pir),min(als),max(als),min(tp1),max(tp1),min(tp2),max(tp2),max(tp3),summary_Clear,summary_Drizzle,summary_Flurries,summary_Light Rain,summary_Mostly Cloudy,summary_Overcast,summary_Partly Cloudy,summary_Possible Drizzle,summary_Possible Flurries
2020-11-30 17:30:00,3,217.0,0.0,0.0,0.94,1007.6,27.25,16.093,21.05,38.45,352.0,5.0,66.0,-41.0,42.0,-52.0,44.0,50.0,0,0,0,0,0,1,0,0,0
2020-11-30 17:45:00,0,0.0,0.0728,0.9,0.94,1007.2,28.89,16.093,21.23,37.98,439.0,5.0,5.0,-46.0,41.0,-52.0,48.0,57.0,0,1,0,0,0,0,0,0,0
2020-11-30 18:00:00,0,0.0,0.1156,1.0,0.95,1006.8,30.36,16.093,21.06,37.21,319.0,3.0,5.0,-50.0,63.0,-48.0,57.0,51.0,0,1,0,0,0,0,0,0,0
2020-11-30 18:15:00,13,110.0,0.2137,1.0,0.95,1006.4,31.5,16.093,21.15,37.9,375.0,3.0,4.0,-46.0,43.0,-49.0,47.0,52.0,0,1,0,0,0,0,0,0,0
2020-11-30 18:30:00,13,106.0,0.0,0.0,0.96,1005.8,32.46,16.093,21.3,37.57,386.0,3.0,4.0,-42.0,46.0,-57.0,51.0,46.0,0,0,0,0,0,1,0,0,0
2020-11-30 18:45:00,0,0.0,0.2257,1.0,0.93,1005.4,33.5,16.01,21.24,37.25,324.0,3.0,4.0,-51.0,44.0,-56.0,45.0,49.0,0,1,0,0,0,0,0,0,0
2020-11-30 19:00:00,0,0.0,0.4295,1.0,0.94,1005.0,34.88,15.169,21.07,37.2,22.0,3.0,3.0,-40.0,42.0,-44.0,45.0,47.0,0,0,0,1,0,0,0,0,0
2020-12-01 15:15:00,0,0.0,0.1352,1.0,1.0,996.5,14.77,8.899,21.77,37.88,170.0,3.0,4.0,-45.0,43.0,-55.0,50.0,50.0,0,1,0,0,0,0,0,0,0
2020-12-01 15:30:00,1,15.0,0.0677,0.18,1.0,996.3,14.38,9.017999999999999,21.78,37.75,256.0,3.0,5.0,-42.0,53.0,-63.0,53.0,55.0,0,0,0,0,1,0,0,0,0
2020-12-01 15:45:00,0,0.0,0.0587,0.01,1.0,996.0,15.37,9.295,21.7,37.56,370.0,3.0,4.0,-49.0,59.0,-57.0,51.0,53.0,0,0,0,0,1,0,0,0,0
2020-12-01 16:00:00,0,0.0,0.2521,1.0,1.0,995.6,17.67,8.834,21.81,38.21,291.0,3.0,8.0,-50.0,50.0,-47.0,64.0,55.0,0,0,0,1,0,0,0,0,0
2020-12-01 16:15:00,1,296.0,0.0917,1.0,1.0,995.4,17.15,9.031,22.04,38.42,446.0,6.0,10.0,-131.0,107.0,-133.0,119.0,72.0,0,1,0,0,0,0,0,0,0
2020-12-01 16:30:00,0,0.0,0.284,1.0,0.99,995.1,16.34,9.332,22.2,37.82,313.0,7.0,9.0,-44.0,87.0,-64.0,109.0,50.0,0,0,0,1,0,0,0,0,0
2020-12-01 16:45:00,0,0.0,0.0663,0.96,0.98,995.1,15.34,9.389,22.12,37.59,382.0,6.0,10.0,-100.0,189.0,-128.0,141.0,75.0,0,1,0,0,0,0,0,0,0
2020-12-01 17:00:00,0,0.0,0.0894,1.0,0.98,995.0,15.0,10.599,22.07,37.77,219.0,5.0,9.0,-47.0,41.0,-58.0,49.0,47.0,0,1,0,0,0,0,0,0,0
2020-12-01 17:15:00,0,0.0,0.2419,1.0,0.97,994.8,14.32,11.025,22.01,37.45,312.0,3.0,7.0,-114.0,313.0,-105.0,214.0,78.0,0,0,0,1,0,0,0,0,0
2020-12-01 17:30:00,1,15.0,0.0676,0.34,0.97,994.6,13.56,11.505,21.99,37.84,360.0,3.0,6.0,-91.0,313.0,-91.0,203.0,100.0,0,0,0,0,0,0,0,1,0
2020-12-01 17:45:00,0,0.0,0.0815,0.76,0.97,994.4,12.89,12.341,22.09,37.93,310.0,4.0,6.0,-47.0,39.0,-76.0,75.0,49.0,0,1,0,0,0,0,0,0,0
2020-12-01 18:00:00,0,0.0,0.1669,1.0,0.96,994.3,12.47,12.825,22.1,37.52,198.0,4.0,5.0,-128.0,164.0,-165.0,161.0,109.0,0,1,0,0,0,0,0,0,0
2020-12-01 18:15:00,0,0.0,0.4317,1.0,0.96,994.2,12.44,13.297,21.98,37.34,490.0,3.0,5.0,-49.0,64.0,-54.0,82.0,55.0,0,0,0,1,0,0,0,0,0
2020-12-01 18:30:00,0,0.0,0.2478,1.0,0.95,994.2,12.69,13.765999999999998,21.76,37.25,381.0,3.0,5.0,-44.0,42.0,-51.0,49.0,49.0,0,0,0,1,0,0,0,0,0
2020-12-01 18:45:00,0,0.0,0.5033,1.0,0.95,994.3,12.98,13.636,21.89,37.93,309.0,3.0,4.0,-111.0,99.0,-120.0,79.0,72.0,0,0,0,1,0,0,0,0,0
2020-12-01 19:00:00,0,0.0,0.3279,1.0,0.95,994.2,13.33,14.067,22.0,38.3,23.0,3.0,4.0,-44.0,47.0,-46.0,50.0,53.0,0,0,0,1,0,0,0,0,0
2020-12-01 19:15:00,0,0.0,0.2015,1.0,0.95,994.2,13.2,14.48,21.97,37.71,421.0,3.0,4.0,-110.0,214.0,-155.0,188.0,71.0,0,1,0,0,0,0,0,0,0
2020-12-01 19:30:00,0,0.0,0.2089,1.0,0.96,994.3,9.93,15.338,21.85,38.01,277.0,2.0,3.0,-59.0,52.0,-50.0,45.0,47.0,0,1,0,0,0,0,0,0,0
2020-12-01 19:45:00,0,0.0,0.1214,1.0,0.98,994.5,10.24,16.016,21.72,38.38,322.0,3.0,4.0,-159.0,268.0,-150.0,147.0,99.0,0,1,0,0,0,0,0,0,0
2020-12-01 20:00:00,0,0.0,0.0794,1.0,0.98,994.6,10.15,16.093,21.66,38.19,268.0,3.0,4.0,-118.0,216.0,-115.0,159.0,87.0,0,1,0,0,0,0,0,0,0
2020-12-01 20:15:00,0,0.0,0.1023,0.99,0.98,994.6,14.79,15.212,21.9,38.56,276.0,2.0,3.0,-55.0,47.0,-49.0,50.0,48.0,0,1,0,0,0,0,0,0,0
2020-12-01 20:30:00,0,0.0,0.07400000000000001,1.0,0.98,994.7,15.56,16.093,22.0,38.3,21.0,2.0,3.0,-47.0,43.0,-47.0,44.0,50.0,0,1,0,0,0,0,0,0,0
2020-12-01 20:45:00,1,339.0,0.0553,0.04,0.97,995.0,16.39,16.093,21.95,38.05,195.0,2.0,2.0,-49.0,46.0,-55.0,44.0,56.0,0,0,0,0,1,0,0,0,0
2020-12-01 21:00:00,9,12.0,0.0,0.0,0.98,995.1,17.14,16.093,21.84,38.36,243.0,2.0,3.0,-44.0,50.0,-58.0,59.0,52.0,0,0,0,0,1,0,0,0,0
2020-12-01 21:15:00,10,302.0,0.0,0.0,0.98,995.3,17.96,16.093,21.81,38.6,276.0,2.0,3.0,-54.0,48.0,-61.0,53.0,50.0,0,0,0,0,1,0,0,0,0
2020-12-01 21:30:00,5,297.0,0.0,0.0,0.99,995.5,19.1,16.093,21.72,38.65,298.0,2.0,2.0,-57.0,50.0,-54.0,50.0,54.0,0,0,0,0,1,0,0,0,0
2020-12-01 21:45:00,10,207.0,0.0,0.0,0.99,995.7,20.34,16.093,21.99,38.73,89.0,2.0,2.0,-48.0,53.0,-51.0,50.0,53.0,0,0,0,0,1,0,0,0,0
2020-12-01 22:00:00,12,16.0,0.0,0.0,0.98,995.8,21.16,16.093,22.04,38.58,133.0,2.0,2.0,-50.0,64.0,-54.0,70.0,49.0,0,0,0,0,1,0,0,0,0
2020-12-01 22:15:00,56,195.0,0.0,0.0,0.99,995.9,23.62,13.47,22.03,38.5,400.0,2.0,2.0,-89.0,107.0,-113.0,85.0,62.0,0,0,0,0,1,0,0,0,0
2020-12-01 22:30:00,70,198.0,0.0,0.0,0.98,996.0,25.13,13.690999999999999,21.97,38.57,291.0,2.0,2.0,-43.0,43.0,-43.0,45.0,52.0,0,0,0,0,1,0,0,0,0
2020-12-01 22:45:00,48,96.0,0.0,0.0,0.97,996.1,26.59,14.360999999999999,21.89,38.59,23.0,2.0,2.0,-56.0,51.0,-55.0,51.0,53.0,0,0,0,0,0,1,0,0,0
2020-12-01 23:00:00,65,100.0,0.0,0.0,0.98,996.3,29.53,13.232000000000001,21.76,38.49,24.0,2.0,2.0,-63.0,96.0,-72.0,152.0,62.0,0,0,0,0,1,0,0,0,0
2020-12-01 23:15:00,50,98.0,0.0,0.0,0.98,996.4,30.85,13.692,21.69,38.63,347.0,2.0,3.0,-51.0,45.0,-48.0,43.0,58.0,0,0,0,0,1,0,0,0,0
2020-12-01 23:30:00,62,105.0,0.0,0.0,0.98,996.6,31.37,14.635,21.75,39.57,399.0,2.0,3.0,-71.0,59.0,-67.0,101.0,62.0,0,0,0,0,1,0,0,0,0
2020-12-01 23:45:00,63,161.0,0.0,0.0,0.97,996.8,31.55,15.702,22.17,40.01,334.0,2.0,3.0,-123.0,196.0,-129.0,225.0,88.0,0,0,0,0,1,0,0,0,0
2020-12-02 00:00:00,61,160.0,0.0,0.0,0.97,996.9,31.92,15.943,22.32,40.17,431.0,2.0,3.0,-44.0,64.0,-42.0,58.0,59.0,0,0,0,0,0,1,0,0,0
2020-12-02 00:15:00,24,97.0,0.0,0.0,0.96,997.1,32.51,15.677999999999999,22.27,39.64,315.0,2.0,2.0,-43.0,46.0,-49.0,51.0,55.0,0,0,0,0,1,0,0,0,0
2020-12-02 00:30:00,41,159.0,0.0,0.0,0.96,997.3,32.44,15.337,22.17,39.24,290.0,2.0,2.0,-61.0,50.0,-54.0,48.0,59.0,0,0,0,0,1,0,0,0,0
2020-12-02 00:45:00,24,142.0,0.0,0.0,0.96,997.4,32.05,15.059000000000001,22.0,38.72,270.0,2.0,2.0,-53.0,48.0,-56.0,54.0,55.0,0,0,0,0,1,0,0,0,0
2020-12-02 01:00:00,3,173.0,0.0,0.0,0.96,997.6,31.68,15.012,21.86,38.56,342.0,2.0,2.0,-49.0,69.0,-55.0,68.0,66.0,0,0,0,0,1,0,0,0,0
2020-12-02 01:15:00,0,0.0,0.0501,0.01,0.96,997.7,31.3,15.311,21.82,38.79,405.0,2.0,2.0,-47.0,41.0,-55.0,74.0,57.0,0,0,0,0,1,0,0,0,0
2020-12-02 01:30:00,13,158.0,0.0,0.0,0.96,997.7,30.77,15.850999999999999,21.75,38.61,388.0,2.0,2.0,-127.0,149.0,-91.0,183.0,65.0,0,0,0,0,1,0,0,0,0
2020-12-02 01:45:00,4,354.0,0.0,0.0,0.96,997.9,30.72,14.616,21.84,38.74,54.0,2.0,2.0,-47.0,56.0,-53.0,44.0,52.0,0,0,0,0,1,0,0,0,0
2020-12-02 02:00:00,3,85.0,0.0565,0.06,0.95,998.1,34.44,13.890999999999998,22.02,38.96,28.0,2.0,2.0,-52.0,42.0,-45.0,44.0,55.0,0,0,0,0,1,0,0,0,0
2020-12-02 02:15:00,8,21.0,0.0,0.0,0.95,998.4,29.14,10.69,21.94,38.55,496.0,2.0,2.0,-50.0,49.0,-48.0,50.0,53.0,0,0,0,0,1,0,0,0,0
2020-12-02 02:30:00,9,178.0,0.0,0.0,0.95,998.6,29.98,10.475999999999999,21.87,38.34,618.0,2.0,3.0,-95.0,159.0,-115.0,157.0,98.0,0,0,0,0,0,1,0,0,0
2020-12-02 03:00:00,5,167.0,0.0,0.0,0.94,998.9,29.06,10.339,21.76,38.48,302.0,2.0,3.0,-49.0,59.0,-55.0,76.0,58.0,0,0,0,0,0,1,0,0,0
2020-12-02 03:15:00,26,240.0,0.0,0.0,0.94,999.0,29.34,10.204,21.84,39.38,21.0,2.0,2.0,-50.0,44.0,-54.0,47.0,52.0,0,0,0,0,0,1,0,0,0
2020-12-02 03:30:00,26,243.0,0.0,0.0,0.94,999.1,29.49,10.312000000000001,22.02,38.85,36.0,2.0,2.0,-44.0,51.0,-46.0,46.0,57.0,0,0,0,0,1,0,0,0,0
2020-12-02 03:45:00,5,203.0,0.0,0.0,0.96,999.1,31.05,10.673,22.01,38.01,269.0,1.0,3.0,-45.0,46.0,-54.0,60.0,51.0,0,0,0,0,1,0,0,0,0
2020-12-02 04:00:00,27,252.0,0.0,0.0,0.96,999.1,31.6,10.535,21.98,37.67,637.0,2.0,2.0,-81.0,133.0,-105.0,150.0,76.0,0,0,0,0,1,0,0,0,0
2020-12-02 04:15:00,34,219.0,0.0,0.0,0.96,999.2,32.19,11.02,21.92,37.72,217.0,1.0,2.0,-204.0,312.0,-189.0,203.0,94.0,0,0,0,0,1,0,0,0,0
2020-12-02 04:30:00,28,226.0,0.0,0.0,0.95,999.3,32.86,11.633,21.77,38.17,30.0,2.0,2.0,-47.0,50.0,-53.0,51.0,58.0,0,0,0,0,1,0,0,0,0
2020-12-02 04:45:00,22,221.0,0.0,0.0,0.95,999.5,31.71,12.262,21.66,38.46,412.0,2.0,2.0,-60.0,51.0,-58.0,76.0,53.0,0,0,0,0,1,0,0,0,0
2020-12-02 05:00:00,22,223.0,0.0,0.0,0.95,999.5,32.57,14.64,21.77,38.45,22.0,2.0,2.0,-49.0,45.0,-49.0,49.0,56.0,0,0,0,0,1,0,0,0,0
2020-12-02 05:15:00,18,230.0,0.0,0.0,0.95,999.6,32.16,14.921,22.04,38.47,68.0,2.0,2.0,-44.0,44.0,-49.0,45.0,63.0,0,0,0,0,1,0,0,0,0
2020-12-02 05:30:00,80,194.0,0.0,0.0,0.95,999.7,31.65,14.87,22.03,37.9,294.0,1.0,2.0,-89.0,79.0,-76.0,65.0,57.0,0,0,0,0,1,0,0,0,0
2020-12-02 05:45:00,82,196.0,0.0,0.0,0.93,999.9,30.96,14.562999999999999,21.99,37.99,400.0,1.0,3.0,-50.0,47.0,-51.0,49.0,54.0,0,0,0,0,1,0,0,0,0
2020-12-02 06:00:00,79,195.0,0.0,0.0,0.94,1000.0,30.0,14.263,21.91,37.23,23.0,2.0,2.0,-52.0,46.0,-56.0,55.0,60.0,0,0,0,0,1,0,0,0,0
2020-12-02 06:15:00,93,189.0,0.0,0.0,0.94,1000.1,28.65,13.965,21.81,37.07,393.0,2.0,2.0,-53.0,50.0,-60.0,60.0,56.0,0,0,0,0,1,0,0,0,0
2020-12-02 06:30:00,91,194.0,0.0,0.0,0.94,1000.2,26.98,13.588,21.76,36.84,453.0,2.0,2.0,-65.0,51.0,-73.0,66.0,66.0,0,0,0,0,1,0,0,0,0
2020-12-02 06:45:00,74,270.0,0.0,0.0,0.96,1000.1,25.22,12.975,21.98,36.71,22.0,2.0,2.0,-50.0,43.0,-51.0,55.0,55.0,0,0,0,0,1,0,0,0,0
2020-12-02 07:00:00,100,187.0,0.0,0.0,0.96,1000.3,23.15,10.642999999999999,21.94,35.91,26.0,2.0,2.0,-47.0,43.0,-51.0,45.0,51.0,0,0,0,0,0,1,0,0,0
